19.4	18.0	21.0	1.97E7	+118200.0	-118200.0	+2659500.0	-2403400.0	1.4	+0.5095999999999999	-0.5095999999999999
22.4	21.0	24.0	1.02E7	+81600.0	-81600.0	+1295400.0	-1173000.0	1.38	+0.47886	-0.47886
25.9	24.0	28.0	5170000.0	+51700.0	-51700.0	+625570.0	-573870.0	1.32	+0.39072	-0.39072
29.9	28.0	32.0	2670000.0	+37380.0	-37380.0	+312390.0	-285690.0	1.23	+0.27429000000000003	-0.27429000000000003
34.3	32.0	37.0	1390000.0	+23630.0	-23630.0	+158460.0	-145950.0	1.16	+0.18908	-0.18908
39.8	37.0	43.0	655000.0	+6550.0	-6550.0	+73360.0	-67465.0	1.12	+0.14	-0.14
45.8	43.0	49.0	336000.0	+4704.0	-4704.0	+37296.0	-34608.0	1.1	+0.1177	-0.1177
52.3	49.0	56.0	180000.0	+3060.0	-3060.0	+20160.0	-18540.0	1.09	+0.10572999999999999	-0.10572999999999999
59.7	56.0	64.0	92100.0	+644.6999999999999	-644.6999999999999	+10315.199999999999	-9486.300000000001	1.07	+0.09416000000000002	-0.09416000000000002
68.6	64.0	74.0	46600.0	+419.40000000000003	-419.40000000000003	+5312.400000000001	-4846.400000000001	1.06	+0.08268	-0.08268
78.7	74.0	84.0	23700.0	+308.1	-308.1	+2725.5	-2512.2	1.05	+0.0693	-0.0693
90.0	84.0	97.0	11800.0	+47.2	-47.2	+1392.4	-1274.4	1.04	+0.055119999999999995	-0.055119999999999995
104.8	97.0	114.0	5420.0	+32.52	-32.52	+650.4000000000001	-596.2	1.03	+0.04223	-0.04223
122.7	114.0	133.0	2380.0	+7.14	-7.14	+295.12	-268.94	1.03	+0.03399	-0.03399
142.3	133.0	153.0	1080.0	+4.32	-4.32	+139.32000000000002	-125.28	1.03	+0.028839999999999998	-0.028839999999999998
162.8	153.0	174.0	523.0	+1.5690000000000002	-1.5690000000000002	+69.55900000000001	-62.760000000000005	1.03	+0.02678	-0.02678
184.3	174.0	196.0	261.0	+1.305	-1.305	+36.018	-32.364	1.03	+0.02472	-0.02472
207.3	196.0	220.0	135.0	+0.54	-0.54	+19.305000000000003	-17.28	1.03	+0.022660000000000003	-0.022660000000000003
231.8	220.0	245.0	71.5	+0.3575	-0.3575	+10.6535	-9.437999999999999	1.03	+0.0206	-0.0206
257.7	245.0	272.0	38.1	+0.1905	-0.1905	+5.9055	-5.2197	1.03	+0.01751	-0.01751
285.2	272.0	300.0	20.7	+0.14489999999999997	-0.14489999999999997	+3.3533999999999997	-2.9393999999999996	1.02	+0.015300000000000001	-0.015300000000000001
314.2	300.0	330.0	11.6	+0.10439999999999999	-0.10439999999999999	+1.9603999999999997	-1.7167999999999999	1.02	+0.012240000000000001	-0.012240000000000001
345.1	330.0	362.0	6.66	+0.07326000000000002	-0.07326000000000002	+1.17882	-1.0189800000000002	1.02	+0.00918	-0.00918
377.7	362.0	395.0	3.78	+0.0567	-0.0567	+0.6993	-0.6048	1.02	+0.00714	-0.00714
411.6	395.0	430.0	2.19	+0.041609999999999994	-0.041609999999999994	+0.42705	-0.36573	1.02	+0.0051	-0.0051
448.0	430.0	468.0	1.29	+0.030959999999999998	-0.030959999999999998	+0.26445	-0.22446	1.01	+0.0030299999999999997	-0.0030299999999999997
486.5	468.0	507.0	0.755	+0.023405000000000002	-0.023405000000000002	+0.163835	-0.13741	1.01	+0.00202	-0.00202
526.5	507.0	548.0	0.439	+0.017120999999999997	-0.017120999999999997	+0.100092	-0.08341	1.01	+0.00101	-0.00101
568.9	548.0	592.0	0.277	+0.013296	-0.013296	+0.06675700000000001	-0.055123000000000005	1.01	+0.0	-0.0
613.9	592.0	638.0	0.144	+0.009359999999999999	-0.009359999999999999	+0.036719999999999996	-0.029952	1.01	+0.0	-0.0
660.8	638.0	686.0	0.0852	+0.007071600000000001	-0.007071600000000001	+0.023004	-0.0185736	1.01	+0.00101	-0.00101
710.2	686.0	737.0	0.0505	+0.005252000000000001	-0.005252000000000001	+0.014443000000000001	-0.011514000000000002	1.01	+0.00101	-0.00101
786.1	737.0	846.0	0.0202	+0.0022826	-0.0022826	+0.0063024	-0.0049288	1.01	+0.00101	-0.00101
1064.4	846.0	1684.0	0.00202	+2.5856E-4	-2.5856E-4	+7.635599999999999E-4	-5.6964E-4	1.01	+0.00101	-0.00101
